"Alerts","Alertes"
"name","Nom"
"description","Description"
"Date add","Date de mise à jour"
"Last Execution","Dernière exécution"
"Edition of the alert '%s'","Edition de l'alerte '%s'"
"Add an Alert","Ajouter une alerte"
"Alert detail","Détails de l'alerte"
"Alert information","Informations de l'alerte"
"conditions","Conditions"
"Send an email","Envoyer un email"
"email recipient","Destinataire de l'email"
"email subject","Sujet de l'email"
"email message","Message de l'email"
"Export to csv","Exporter les résultats en csv"
"Csv File name","Nom du fichier csv"
"Csv File Path","Chemin du fichier csv (Dans export/)"
"Attach csv to email","Joindre le fichier à l'email"
"Cron Schedule","Programmation Cron"
"Add New Alert","Ajouter une nouvelle alerte"
"Manage Alerts","Gestion des alertes"
"Run alert now","Exécuter l'alerte maintenant"
"Alert successfully executed","Alerte exécutée avec succès"
### System.xml ###
"Hhennes Alerts","Alertes Emails"
"Alert Email Sender","Email qui envoie l'alerte"
"If not filled,the default email of the store will be used","Si ce champ n'est pas renseigné l'email par défaut du site sera utilisée"
"Alert Email Sender Name","Nom de l'expéditeur de l'alerte"
"Alert Email defaut email recipient","Destinataire par défaut des alertes"
## Validations js ##
"Invalid conditions, you can only use SELECT commands","Les commandes Sql autres que select ne sont pas autorisées."
"Invalid cron expression","Format cron incorrect"  
